parent_name,utility_name,respondent_id,year,rate_base_actual,equity_actual,debt_actual,equity_ratio_actual,returns_actual,earnings_actual,interest_actual,fed_tax_expense_actual,pre_tax_net_income_actual,ROR_actual,ROE_actual,interest_rate_actual,equity_ratio,ROR,ROE,interest_rate,effective_fed_tax_rate,equity_authorized,debt_authorized,returns_authorized,earnings_authorized,interest_authorized,interest_rate_authorized
"SU Investment Partners, LP","Sharyland Utilities, L.P.",268.0,2016,1849712325.0,129410763.0,158834375.0,0.44896078351198415,156899491.0,13141881.0,4139053.0,,32207150.0,0.08482372576503214,0.015825044236724928,0.026058924587325633,0.44365784673267034,0.06863526589575915,0.09333368951539459,0.0489393838267377,,820639387.1843812,1029072937.8156188,126955497.25703786,76593301.76757072,50362195.489467144,0.0489393838267377
"SU Investment Partners, LP","Sharyland Utilities, L.P.",268.0,2015,1590090495.0,11325101.0,,,125595200.0,-2967391.0,111729.0,,15740376.0,0.07898619631708445,,,0.44365784673267034,0.06863526589575915,0.09333368951539459,0.0489393838267377,,705456125.1217859,884634369.8782141,109136283.92264429,65842822.94885012,43293460.97379417,0.0489393838267377
"SU Investment Partners, LP","Sharyland Utilities, L.P.",268.0,2014,1219977163.0,13645903.0,,,121412926.0,13784859.0,,,34958973.0,0.09952065471573093,,,0.44365784673267034,0.06863526589575915,0.09333368951539459,0.0489393838267377,,541252441.199612,678724721.800388,83733456.9692589,50517087.296373956,33216369.67288495,0.048939383826737695
"SU Investment Partners, LP","Sharyland Utilities, L.P.",268.0,2013,1000284308.0,693046.0,,,32842490.0,-11363709.0,,,-2477901.0,0.03283315527129113,,,0.44365784673267034,0.06863526589575915,0.09333368951539459,0.0489393838267377,,443783982.2077592,556500325.7922409,68654779.45093544,41419996.407284394,27234783.043651044,0.04893938382673768
"SU Investment Partners, LP","Sharyland Utilities, L.P.",268.0,2012,688275005.0,8046249.0,3125000.0,0.7202640456765398,22570000.0,-8199600.0,,,-2102989.0,0.03279212500241818,-0.016540130524870474,,0.44365784673267034,0.06863526589575915,0.09333368951539459,0.0489393838267377,,305358606.6782179,382916398.3217821,47239937.97757996,28500245.386558283,18739692.591021676,0.0489393838267377
"SU Investment Partners, LP","Sharyland Utilities, L.P.",268.0,2011,118923034.0,67534992.0,51241227.0,0.5685901821811654,8426198.0,1026460.0,13426.0,,3275420.0,0.07085421315436671,0.01518017202347159,0.00026201558366274096,0.44365784673267034,0.06863526589575915,0.09333368951539459,0.0489393838267377,,52761137.191356145,66161896.808643855,8162314.059720405,4924391.597097172,3237922.462623233,0.04893938382673769
"SU Investment Partners, LP","Sharyland Utilities, L.P.",268.0,2010,122360367.0,70410875.0,52404546.0,0.573306466131806,7066618.0,-494184.0,8700.0,,745509.0,0.05775250739481682,-0.007044676739403288,0.00016601613150126328,0.44365784673267034,0.06863526589575915,0.09333368951539459,0.0489393838267377,,54286136.948639296,68074230.0513607,8398236.324147673,5066725.45095449,3331510.873193183,0.048939383826737695
American States Water Co.,Golden State Water Co.,269.0,2020,-9320000.0,583196000.0,444271000.0,0.5676055776000591,3857000.0,-17638000.0,19477000.0,13890000.0,105516000.0,-0.4138412017167382,3.3341625682891616,0.043840358699982665,0.5002000000000001,0.07384927090165247,0.0976259376560144,0.0489393838267377,0.13163880359376778,-4661864.000000001,-4658135.999999999,-688275.204803401,-455118.84422481805,-233156.36057858297,0.05005357520230904
American States Water Co.,Golden State Water Co.,269.0,2019,33708331.06606941,551086000.0,284699000.0,0.6593633530154286,8323000.0,6767840.371382918,18921000.0,9254000.0,104988000.0,0.2469122539376587,0.3045005282370284,0.06645966441750761,0.5003,0.0747,0.09804259563075947,0.050011655011655005,0.08814340686554654,16864278.032354522,16844053.033714887,2518012.330635385,1653417.5917308345,864594.7389045507,0.05132937643772473
American States Water Co.,Golden State Water Co.,269.0,2018,38934445.177168466,503473000.0,382374000.0,0.5683520969196713,5186000.0,3764070.2024398427,20742000.0,13709000.0,78406000.0,0.13319825096778623,0.17010076146598216,0.054245320026989285,0.5,0.0755,0.09854090715624493,0.052578013417009316,0.17484631278218504,19467222.588584233,19467222.588584233,2939550.610876219,1918317.773691633,1021232.8371845859,0.05245909284375505
American States Water Co.,Golden State Water Co.,269.0,2017,83632096.6429298,474271000.0,325265000.0,0.5931827960216925,5161000.0,3730850.339202017,20728000.0,6142000.0,104200000.0,0.061710757079725884,0.07520492743525767,0.06372649993082563,0.4998280144806916,0.07631407326807475,0.0996,0.05378542921528783,0.05894433781190019,41801664.81189292,41830431.83103689,6382305.950771254,4163445.8152645347,2218860.135506719,0.05304416039665154
American States Water Co.,Golden State Water Co.,269.0,2016,39349965.94430434,446653000.0,325582000.0,0.5783899978633447,5191000.0,3809663.430962451,20769000.0,-3829000.0,91030000.0,0.13191879269596585,0.1673869030494402,0.06379038153214858,0.4999,0.0775464744512859,0.1,0.05488247422680411,-0.04206305613534,19671047.97555774,19678917.9687466,3051451.128758967,1967104.7975557742,1084346.3312031927,0.055101928516868424
American States Water Co.,Golden State Water Co.,269.0,2015,34649885.99587853,423404000.0,325853000.0,0.5650984909049899,4021000.0,2712279.332698771,20801000.0,15397000.0,95294000.0,0.1160465578581783,0.13851871597796644,0.06383553320055363,0.4998280144806916,0.07855729388713396,0.10000000000000002,0.055887994463433434,0.16157365626377315,17318983.71930229,17330902.276576243,2722001.2773339176,1731898.3719302292,990102.9054036883,0.05712933404176376
American States Water Co.,Golden State Water Co.,269.0,2014,34069463.87170749,434946000.0,326090000.0,0.5715182987401385,4128000.0,2812961.822744002,20893000.0,-1717000.0,95077000.0,0.12116421953525484,0.14446691489531127,0.0640712686681591,0.49752737891798143,0.07925,0.1014,0.05825615227909764,-0.018059046877793788,16950491.06123149,17118972.810476,2700005.011832819,1718779.7936088732,981225.2182239457,0.0573179961839464
American States Water Co.,Golden State Water Co.,269.0,2013,31804131.175130878,437016000.0,332350000.0,0.5680209419184108,3960000.0,2641107.3776534013,21539000.0,3001000.0,95838000.0,0.12451212637107054,0.1461969036568053,0.06480818414322251,0.49295316303630043,0.0814,0.1025,0.06014477051907051,0.031313257789185915,15677947.060402177,16126184.1147287,2588856.2776556537,1606989.573691223,981866.7039644306,0.060886487279259806
American States Water Co.,Golden State Water Co.,269.0,2012,34281439.43891732,415753000.0,335738000.0,0.5532374971889218,6250000.0,4847995.528356597,21778000.0,9445000.0,79540000.0,0.18231439817853193,0.25561807118731084,0.06486605627006774,0.49,0.08220000000000001,0.10325000000000001,0.06101773901377067,0.11874528539099824,16797905.325069483,17483534.113847833,2817934.3218790037,1734383.7248134243,1083550.5970655794,0.06197549019607844
American States Water Co.,Golden State Water Co.,269.0,2011,31887906.99161557,384284000.0,340620000.0,0.5301170913665809,4854000.0,3419953.0674213124,22132000.0,5259000.0,73641000.0,0.15222071493360426,0.20231231757169738,0.06497563266983736,0.49150000000000005,0.08326723995613021,0.10433284108763209,0.061885134410658904,0.07141402208009125,15672906.286379054,16215000.705236517,2655218.0031696158,1635198.840958136,1020019.1622114799,0.06290589687622228
