parent_name,utility_name,respondent_id,year,percent_AMI,ownership,housing_units,income
Southern Co.,Alabama Power Co.,2.0,2015,60-80%,renter,46193.70475733733,1481950065.3856416
Southern Co.,Alabama Power Co.,2.0,2015,80-100%,owner,81130.33009390361,3449396264.2204485
Southern Co.,Alabama Power Co.,2.0,2015,80-100%,renter,34090.190041014306,1411329558.8790941
Southern Co.,Alabama Power Co.,2.0,2014,0-30%,owner,88623.45827107808,789060567.5389618
Southern Co.,Alabama Power Co.,2.0,2014,0-30%,renter,121414.64609926529,1029197391.2205123
Southern Co.,Alabama Power Co.,2.0,2014,100%+,owner,501815.22332798963,50490435050.864006
Southern Co.,Alabama Power Co.,2.0,2014,100%+,renter,107231.34079627894,7916489942.543758
Southern Co.,Alabama Power Co.,2.0,2014,30-60%,owner,104390.4885716447,2117140008.1431231
Southern Co.,Alabama Power Co.,2.0,2014,30-60%,renter,79540.16395388232,1576395813.9125416
Southern Co.,Alabama Power Co.,2.0,2014,60-80%,owner,83508.63604626656,2636104157.389908
Southern Co.,Alabama Power Co.,2.0,2014,60-80%,renter,45942.67183602021,1418270814.9681344
Southern Co.,Alabama Power Co.,2.0,2014,80-100%,owner,80689.43920026599,3303911974.1461215
Southern Co.,Alabama Power Co.,2.0,2014,80-100%,renter,33904.93189730821,1351599094.4847925
Southern Co.,Alabama Power Co.,2.0,2013,0-30%,owner,88263.65183881337,776459466.2252811
Southern Co.,Alabama Power Co.,2.0,2013,0-30%,renter,120921.7092235226,1017466013.7440164
Southern Co.,Alabama Power Co.,2.0,2013,100%+,owner,499777.88074754685,49827477943.86391
Southern Co.,Alabama Power Co.,2.0,2013,100%+,renter,106795.98737054312,7820078372.567002
Southern Co.,Alabama Power Co.,2.0,2013,30-60%,owner,103966.66885180885,2090351446.0170572
Southern Co.,Alabama Power Co.,2.0,2013,30-60%,renter,79217.23520372616,1561364415.3821056
Southern Co.,Alabama Power Co.,2.0,2013,60-80%,owner,83169.59551472703,2598305847.5042615
Southern Co.,Alabama Power Co.,2.0,2013,60-80%,renter,45756.14708101162,1403135852.8899977
Southern Co.,Alabama Power Co.,2.0,2013,80-100%,owner,80361.84445496408,3257786009.787525
Southern Co.,Alabama Power Co.,2.0,2013,80-100%,renter,33767.2797133364,1336049136.3481793
