target,x01,x02,x03,x04,x05,x06,x07,x08,x09,c10
0.02476079956612313,0.2776728264935009,0.07465159045747209,76.2684495963958,1.0,0.0007643196590207083,0.7803064645705408,0.21969353542945938,0.0,0.105,vert_int
0.004685896952989219,0.5351739992418755,0.3401142903187173,56.87283203986453,1.0000000000000002,0.0007912346616523094,0.8260901671156439,0.17390983288435616,0.0,0.105,vert_int
0.00227581810666652,0.5905624188966364,0.2565381388680844,39.581971756294706,1.0000000000000002,0.0007893520270405596,0.8472920559947112,0.15270794400528884,0.0,0.105,vert_int
0.02576688032432593,0.5329417909842231,0.19031959824638767,48.59464087748487,1.0,0.0008932771008496122,0.7148051542958619,0.2851948457041382,0.0,0.105,vert_int
0.035917702212915625,0.5447571551242699,0.13201550028517545,63.100622033446214,1.0,0.0008333113966911648,0.788407272501956,0.21159272749804398,0.0,0.105,vert_int
0.04683091712313057,0.27938030856448004,0.0835834071426171,104.23507599498252,1.0,0.0008165519014610973,0.7922536953600945,0.20774630463990554,0.0,0.105,vert_int
-0.0030153793451236886,0.29764758608248326,0.08825550661035995,94.2628141822075,1.0,0.0007649477182405333,0.8105071309910648,0.1894928690089353,0.0,0.105,vert_int
-0.10470190690242698,0.4105633926140258,0.18116422684807118,90.19301588791299,1.0,0.0008342017187685217,0.8038101139346365,0.19489361203062186,0.0,0.105,vert_int
-0.007833405281246208,0.2138188331693729,0.07661535432713354,191.11091322312762,1.0,0.000847014657150837,0.7520935161730058,0.24627321904009009,0.0,0.105,vert_int
0.058639184534188496,0.3386305500753888,0.6284653893485621,32.53993607786601,1.0,1.2482571371817486e-05,0.0,1.0,0.0,0.1287999999999999,vert_int
0.029178241855936333,0.6144063472693597,0.5738585410936176,13.515700034301394,1.0000000000000002,3.8126371550193534e-06,0.0,1.0,0.0,0.1287999999999999,vert_int
0.0015546805488661913,0.727271326212288,0.1977961432506887,16.42046325260975,1.0,4.335382342331257e-06,0.0,1.0,0.0,0.1287999999999999,vert_int
-0.03696417832853954,0.5992109901574398,0.2735317602760298,21.703668302215426,1.0000000000000002,4.446205102417232e-06,0.0,1.0,0.0,0.1287999999999999,vert_int
-0.002448580896276056,0.5954953164370299,0.7098697572893575,29.024803275202043,1.0,4.333397824869544e-06,0.0,1.0,0.0,0.1287999999999999,vert_int
0.0014997489597702795,0.7705960431760513,0.3489090889384256,17.320535457938558,1.0,4.674599379727928e-06,0.0,1.0,0.0,0.1287999999999999,vert_int
0.040034489101912436,0.5755233282492503,0.11222003764384082,35.23116584892743,1.0,4.547361828142316e-06,0.0,1.0,0.0,0.1287999999999999,vert_int
-0.0980720148196253,0.6338384593316141,0.4780639496492839,25.250839309481712,0.9999999999999999,4.004325532989575e-06,0.0,1.0,0.0,0.1287999999999999,vert_int
-0.1411911618349026,0.459586135860264,0.44259945460913896,43.06405035422196,1.0000000000000002,4.269455279015912e-06,0.0,1.0,0.0,0.1287999999999999,vert_int
0.04727847338632928,0.2766215072785581,0.006223185640706926,46.85304465611426,1.0000012234556015,9.115669996725636e-06,0.0,1.0,10.499625265717706,0.103386524898094,vert_int
0.054946164877675084,0.33808575952214914,0.010984200563369318,57.64925434769577,0.9999999999999999,8.469802790002633e-06,0.0,1.0,10.499625265717706,0.103386524898094,vert_int
0.007023195941677057,0.7219965553726552,0.0615898882169401,34.993635505735554,0.9999999999999999,8.403825980011151e-06,0.0,1.0,10.499625265717706,0.103386524898094,vert_int
0.02178879688180936,0.6299660004652136,0.07747563741700718,40.048071949205415,1.0,1.1698175305490323e-05,0.0,1.0,10.499625265717706,0.103386524898094,vert_int
0.05637753938084575,0.5811493108545617,0.08631053867375153,31.27636644058531,1.0,2.702027430611257e-06,0.0,1.0,10.499625265717706,0.103386524898094,vert_int
0.043065333068446156,0.7176661302643382,0.08004694395393776,44.437974841677395,1.0,1.0748405828644378e-05,0.0,1.0,10.499625265717706,0.103386524898094,vert_int
0.0020479355617913078,0.7511116496597117,0.03415338225538247,70.2630000422903,1.0,9.863034394178827e-06,0.0,1.0,10.499625265717706,0.103386524898094,vert_int
-0.003262518500806832,0.7287574530005574,0.04774544131611418,62.41327988723164,0.9999999999999999,8.139950665133276e-06,0.0,1.0,10.499625265717706,0.103386524898094,vert_int
0.002277479141622463,0.7746890112962167,0.06704257714582215,64.43548351767961,1.0000569727174995,1.2187450572916585e-05,0.0,1.0002777252450925,10.499625265717706,0.103386524898094,vert_int
0.018167081587936874,0.5737781411925539,0.23777477667214536,52.72180760231675,1.0064980519985576,0.00012611633174364003,0.9993516836637939,0.0,14.612634092128982,0.1099999999999999,vert_int
0.04124184961592778,0.34501657214228354,0.20367531752514145,65.9947311671807,1.0,0.00012676762498895476,0.9966818365470289,0.0,14.612634092128982,0.1099999999999999,vert_int
0.03364738562800245,0.39875384460972146,0.7347474059125082,57.94327722281128,1.0,0.00013049037752702213,0.9851013147613972,0.0,14.612634092128982,0.1099999999999999,vert_int
0.01365420004757382,0.3897233694465707,0.6305270998273931,54.33867565742189,1.0,0.0001299608801400613,0.9735399383954646,0.0,14.612634092128982,0.1099999999999999,vert_int
0.01308255907133762,0.3112055675677965,0.34520955094130557,61.73836205902715,1.0,0.0001356305753201314,0.9625908865661622,0.0,14.612634092128982,0.1099999999999999,vert_int
0.024452574855680413,0.5101558991647945,0.2989211692486809,74.6800345963914,1.0,0.00013761269505125243,0.9546527860406451,0.0,14.612634092128982,0.1099999999999999,vert_int
